"program","CIPDESC","EARN_MDN_1YR","EARN_MDN_5YR","institution"
"Nursing","Somatic Bodywork and Related Therapeutic Services.",22774,28878,"Milan Institute-Visalia"
"Nursing","Health and Medical Administrative Services.",29466,38238,"Clovis Adult Education"
"Nursing","Practical Nursing, Vocational Nursing and Nursing Assistants.",53287,49716,"Clovis Adult Education"
"Nursing","Dentistry.",91130,143654,"Western University of Health Sciences"
"Nursing","Health/Medical Preparatory Programs.",NA,70144,"Western University of Health Sciences"
"Nursing","Medicine.",65634,231526,"Western University of Health Sciences"
"Nursing","Optometry.",84910,111013,"Western University of Health Sciences"
"Nursing","Pharmacy, Pharmaceutical Sciences, and Administration.",116917,158653,"Western University of Health Sciences"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",103727,111204,"Columbia College"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",101064,135374,"Contra Costa College"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",117351,96082,"Crafton Hills College"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",78601,69656,"Crafton Hills College"
"Nursing","Mental and Social Health Services and Allied Professions.",NA,65866,"Cuesta College"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",99000,97289,"Cuesta College"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",NA,87201,"Cypress College"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",NA,100027,"Cypress College"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",91848,115416,"College of the Desert"
"Nursing","Health Services/Allied Health/Health Sciences, General.",NA,102143,"Dominican University of California"
"Nursing","Rehabilitation and Therapeutic Professions.",71230,98885,"Dominican University of California"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",97762,149349,"Dominican University of California"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",NA,88353,"East Los Angeles College"
